"ulb","ward","receiptdate","receiptnumber","createdtime","amountpaid","feetype"
"Kuchinda","08","2022-01-15","01/2021-22/013125","2022-01-15",84.00,"Property Tax"
"Kuchinda","09","2021-12-13","12/2021-22/004543","2021-12-13",38.00,"Property Tax"
"Kuchinda","11","2022-01-15","01/2021-22/012657","2022-01-15",28.00,"Property Tax"
"Kuchinda","10","2021-12-29","12/2021-22/007755","2021-12-29",30.00,"Property Tax"
"Kuchinda","06","2022-01-10","01/2021-22/010947","2022-01-10",1330.00,"Property Tax"
"Kuchinda","09","2022-01-15","01/2021-22/012582","2022-01-15",46.00,"Property Tax"
"Kuchinda","08","2021-12-06","12/2021-22/003434","2021-12-06",58.00,"Property Tax"
"Kuchinda","06","2022-01-11","01/2021-22/011533","2022-01-11",90.00,"Property Tax"
"Kuchinda","09","2022-01-12","01/2021-22/011918","2022-01-12",30.00,"Property Tax"
"Kuchinda","06","2021-12-30","12/2021-22/008136","2021-12-30",670.00,"Property Tax"
"Kuchinda","02","2022-01-18","01/2021-22/015536","2022-01-18",250.00,"Property Tax"
"Kuchinda",NULL,"2022-01-11","01/2021-22/011534","2022-01-11",720.00,"Property Tax"
"Kuchinda","06","2021-12-30","12/2021-22/008134","2021-12-30",330.00,"Property Tax"
"Kuchinda",NULL,"2022-01-13","01/2021-22/012277","2022-01-13",58.00,"Property Tax"
"Kuchinda","08","2022-01-03","01/2021-22/008898","2022-01-03",116.00,"Property Tax"
"Kuchinda",NULL,"2022-01-04","01/2021-22/009697","2022-01-04",142.00,"Property Tax"
"Kuchinda","06","2022-01-10","01/2021-22/011176","2022-01-10",1020.00,"Property Tax"
"Kuchinda",NULL,"2022-01-04","01/2021-22/009699","2022-01-04",88.00,"Property Tax"
"Kuchinda","10","2021-11-30","11/2021-22/002687","2021-11-30",42.00,"Property Tax"
"Kuchinda","09","2021-11-29","11/2021-22/002488","2021-11-29",612.00,"Property Tax"
"Kuchinda","06","2022-01-11","01/2021-22/011536","2022-01-11",1398.00,"Property Tax"
"Kuchinda","03","2022-01-08","01/2021-22/010541","2022-01-08",110.00,"Property Tax"
"Kuchinda","10","2021-12-28","12/2021-22/007555","2021-12-28",46.00,"Property Tax"
"Kuchinda","06","2022-01-10","01/2021-22/011187","2022-01-10",1530.00,"Property Tax"
"Kuchinda",NULL,"2022-01-04","01/2021-22/009669","2022-01-04",15.00,"Property Tax"
"Kuchinda","06","2022-01-11","01/2021-22/011535","2022-01-11",240.00,"Property Tax"
"Kuchinda","09","2022-01-17","01/2021-22/014393","2022-01-17",510.00,"Property Tax"
"Kuchinda",NULL,"2022-01-03","01/2021-22/009194","2022-01-03",15.00,"Property Tax"
"Kuchinda","09","2022-01-17","01/2021-22/014073","2022-01-17",1020.00,"Property Tax"
"Kuchinda",NULL,"2022-01-12","01/2021-22/011812","2022-01-12",30.00,"Property Tax"
"Kuchinda",NULL,"2022-01-04","01/2021-22/009281","2022-01-04",94.00,"Property Tax"
"Kuchinda","06","2022-01-10","01/2021-22/011070","2022-01-10",920.00,"Property Tax"
"Kuchinda",NULL,"2022-01-04","01/2021-22/009280","2022-01-04",36.00,"Property Tax"
"Kuchinda","08","2022-01-04","01/2021-22/009674","2022-01-04",36.00,"Property Tax"
"Kuchinda","10","2022-01-08","01/2021-22/010508","2022-01-08",204.00,"Property Tax"
"Kuchinda","10","2021-12-29","12/2021-22/007753","2021-12-29",50.00,"Property Tax"
"Kuchinda","10","2022-01-05","01/2021-22/009789","2022-01-05",40.00,"Property Tax"
"Kuchinda","10","2021-12-30","12/2021-22/008055","2021-12-30",42.00,"Property Tax"
"Kuchinda","11","2022-01-14","01/2021-22/012353","2022-01-14",34.00,"Property Tax"
"Jharsuguda","17","2022-01-15","01/2021-22/012634","2022-01-15",450.00,"Property Tax"
"Kuchinda","11","2022-01-14","01/2021-22/012354","2022-01-14",30.00,"Property Tax"
"Kuchinda","10","2021-12-29","12/2021-22/007751","2021-12-29",54.00,"Property Tax"
"Jharsuguda","09","2022-01-17","01/2021-22/014124","2022-01-17",2676.00,"Property Tax"
"Kuchinda",NULL,"2021-12-31","12/2021-22/008193","2021-12-31",60.00,"Property Tax"
"Kuchinda","10","2022-01-05","01/2021-22/009788","2022-01-05",68.00,"Property Tax"
"Kuchinda",NULL,"2022-01-17","01/2021-22/014295","2022-01-17",50.00,"Property Tax"
"Kuchinda","10","2021-12-31","12/2021-22/008202","2021-12-31",180.00,"Property Tax"
"Kuchinda",NULL,"2021-11-18","11/2021-22/001564","2021-11-18",12.00,"Property Tax"
"Kuchinda",NULL,"2022-01-04","01/2021-22/009379","2022-01-04",46.00,"Property Tax"
"Kuchinda","10","2022-01-04","01/2021-22/009397","2022-01-04",76.00,"Property Tax"
"Kuchinda",NULL,"2022-01-04","01/2021-22/009401","2022-01-04",76.00,"Property Tax"
"Kuchinda","10","2022-01-05","01/2021-22/009785","2022-01-05",28.00,"Property Tax"
"Kuchinda",NULL,"2022-01-08","01/2021-22/010524","2022-01-08",18.00,"Property Tax"
"Kuchinda",NULL,"2022-01-08","01/2021-22/010510","2022-01-08",338.00,"Property Tax"
"Kuchinda","10","2022-01-05","01/2021-22/009786","2022-01-05",32.00,"Property Tax"
"Kuchinda",NULL,"2022-01-05","01/2021-22/009784","2022-01-05",28.00,"Property Tax"
"Kuchinda","05","2022-01-17","01/2021-22/014083","2022-01-17",322.00,"Property Tax"
"Kuchinda","11","2022-01-14","01/2021-22/012355","2022-01-14",50.00,"Property Tax"
"Kuchinda","05","2022-01-15","01/2021-22/012626","2022-01-15",136.00,"Property Tax"
"Kuchinda","11","2022-01-19","01/2021-22/016223","2022-01-19",64.00,"Property Tax"
"Kuchinda","05","2022-01-03","01/2021-22/009214","2022-01-03",1428.00,"Property Tax"
"Kuchinda",NULL,"2022-01-03","01/2021-22/008828","2022-01-03",78.00,"Property Tax"
"Kuchinda","10","2022-01-05","01/2021-22/009809","2022-01-05",84.00,"Property Tax"
"Kuchinda",NULL,"2022-01-08","01/2021-22/010533","2022-01-08",44.00,"Property Tax"
"Kuchinda",NULL,"2022-01-18","01/2021-22/015229","2022-01-18",124.00,"Property Tax"
"Kuchinda",NULL,"2022-01-18","01/2021-22/015186","2022-01-18",1530.00,"Property Tax"
"Kuchinda","02","2022-01-18","01/2021-22/015562","2022-01-18",418.00,"Property Tax"
"Kuchinda",NULL,"2022-01-08","01/2021-22/010552","2022-01-08",44.00,"Property Tax"
"Kuchinda",NULL,"2022-01-08","01/2021-22/010585","2022-01-08",94.00,"Property Tax"
"Kuchinda",NULL,"2022-01-12","01/2021-22/011915","2022-01-12",112.00,"Property Tax"
"Kuchinda","10","2021-12-27","12/2021-22/007502","2021-12-27",30.00,"Property Tax"
"Jharsuguda","09","2022-01-17","01/2021-22/013736","2022-01-17",6299.00,"Property Tax"
"Jharsuguda",NULL,"2022-01-15","01/2021-22/012715","2022-01-15",62343.00,"Property Tax"
"Jharsuguda","09","2022-01-15","01/2021-22/012706","2022-01-15",2544.00,"Property Tax"
"Jharsuguda","09","2022-01-15","01/2021-22/012723","2022-01-15",1476.00,"Property Tax"
"Kuchinda","02","2022-01-19","01/2021-22/017004","2022-01-19",650.00,"Property Tax"
"Kuchinda","02","2021-12-10","12/2021-22/004307","2021-12-10",168.00,"Property Tax"
"Kuchinda","10","2022-01-08","01/2021-22/010557","2022-01-08",34.00,"Property Tax"
"Kuchinda","09","2021-11-24","11/2021-22/002080","2021-11-24",34.00,"Property Tax"
"Kuchinda","06","2021-12-15","12/2021-22/005237","2021-12-15",800.00,"Property Tax"
"Kuchinda","08","2021-12-21","12/2021-22/006472","2021-12-21",134.00,"Property Tax"
"Kuchinda",NULL,"2021-12-28","12/2021-22/007572","2021-12-28",1020.00,"Property Tax"
"Kuchinda","08","2022-01-03","01/2021-22/008953","2022-01-03",76.00,"Property Tax"
"Kuchinda",NULL,"2022-01-13","01/2021-22/012264","2022-01-13",50.00,"Property Tax"
"Kuchinda","08","2021-12-31","12/2021-22/008358","2021-12-31",82.00,"Property Tax"
"Kuchinda",NULL,"2022-01-12","01/2021-22/011729","2022-01-12",82.00,"Property Tax"
"Kuchinda","04","2022-01-10","01/2021-22/010788","2022-01-10",42.00,"Property Tax"
"Kuchinda","09","2021-12-13","12/2021-22/004532","2021-12-13",58.00,"Property Tax"
"Kuchinda",NULL,"2022-01-10","01/2021-22/010878","2022-01-10",52.00,"Property Tax"
"Kuchinda","04","2022-01-15","01/2021-22/012854","2022-01-15",110.00,"Property Tax"
"Kuchinda","06","2022-01-19","01/2021-22/016331","2022-01-19",450.00,"Property Tax"
"Kuchinda","09","2021-12-07","12/2021-22/003593","2021-12-07",100.00,"Property Tax"
"Kuchinda","08","2022-01-12","01/2021-22/011819","2022-01-12",24.00,"Property Tax"
"Kuchinda",NULL,"2022-01-10","01/2021-22/010973","2022-01-10",58.00,"Property Tax"
"Kuchinda","08","2022-01-15","01/2021-22/013145","2022-01-15",174.00,"Property Tax"
"Kuchinda",NULL,"2021-12-30","12/2021-22/008048","2021-12-30",1886.00,"Property Tax"
"Kuchinda","04","2021-12-04","12/2021-22/003251","2021-12-04",6120.00,"Property Tax"
"Kuchinda",NULL,"2022-01-11","01/2021-22/011504","2022-01-11",70.00,"Property Tax"
"Kuchinda",NULL,"2022-01-15","01/2021-22/012873","2022-01-15",294.00,"Property Tax"
"Kuchinda",NULL,"2021-12-31","12/2021-22/008365","2021-12-31",1390.00,"Property Tax"
"Kuchinda",NULL,"2022-01-13","01/2021-22/012261","2022-01-13",48.00,"Property Tax"
"Kuchinda",NULL,"2021-11-18","11/2021-22/001562","2021-11-18",48.00,"Property Tax"
"Kuchinda",NULL,"2022-01-17","01/2021-22/014319","2022-01-17",258.00,"Property Tax"
"Chatrapur","11","2022-01-18","01/2021-22/015300","2022-01-18",1960.00,"Property Tax"
"Kuchinda",NULL,"2021-12-31","12/2021-22/008186","2021-12-31",30.00,"Property Tax"
"Chatrapur","04","2022-01-11","01/2021-22/011477","2022-01-11",2653.00,"Property Tax"
"Kuchinda",NULL,"2022-01-04","01/2021-22/009659","2022-01-04",130.00,"Property Tax"
"Kuchinda",NULL,"2022-01-19","01/2021-22/016595","2022-01-19",64.00,"Property Tax"
"Kuchinda","06","2022-01-01","01/2021-22/008592","2022-01-01",1270.00,"Property Tax"
"Chatrapur","02","2022-01-10","01/2021-22/011073","2022-01-10",1000.00,"Property Tax"
"Kuchinda","09","2021-12-21","12/2021-22/006664","2021-12-21",60.00,"Property Tax"
"Kuchinda","10","2021-12-31","12/2021-22/008356","2021-12-31",192.00,"Property Tax"
"Kuchinda","06","2021-12-31","12/2021-22/008247","2021-12-31",1530.00,"Property Tax"
"Kuchinda","02","2022-01-18","01/2021-22/015148","2022-01-18",816.00,"Property Tax"
"Kuchinda","05","2022-01-15","01/2021-22/012546","2022-01-15",300.00,"Property Tax"
"Kuchinda",NULL,"2022-01-13","01/2021-22/012257","2022-01-13",34.00,"Property Tax"
"Kuchinda","05","2022-01-04","01/2021-22/009655","2022-01-04",146.00,"Property Tax"
"Chatrapur","04","2021-12-03","12/2021-22/003139","2021-12-03",324.00,"Property Tax"
"Kuchinda",NULL,"2022-01-13","01/2021-22/012062","2022-01-13",614.00,"Property Tax"
"Kuchinda","10","2022-01-03","01/2021-22/008842","2022-01-03",240.00,"Property Tax"
"Kuchinda",NULL,"2022-01-03","01/2021-22/008968","2022-01-03",120.00,"Property Tax"
"Kuchinda","10","2021-12-31","12/2021-22/008237","2021-12-31",48.00,"Property Tax"
"Kuchinda","05","2021-12-01","12/2021-22/002773","2021-12-01",1026.00,"Property Tax"
"Kuchinda","05","2022-01-04","01/2021-22/009692","2022-01-04",780.00,"Property Tax"
"Kuchinda","10","2022-01-04","01/2021-22/009388","2022-01-04",168.00,"Property Tax"
"Kuchinda","06","2022-01-01","01/2021-22/008574","2022-01-01",1020.00,"Property Tax"
"Kuchinda","10","2022-01-05","01/2021-22/009800","2022-01-05",50.00,"Property Tax"
"Kuchinda","11","2022-01-19","01/2021-22/016504","2022-01-19",42.00,"Property Tax"
"Kuchinda","06","2021-12-31","12/2021-22/008239","2021-12-31",1280.00,"Property Tax"
"Kuchinda","10","2022-01-05","01/2021-22/009792","2022-01-05",152.00,"Property Tax"
"Kuchinda",NULL,"2021-12-31","12/2021-22/008366","2021-12-31",68.00,"Property Tax"
"Kuchinda",NULL,"2022-01-05","01/2021-22/009804","2022-01-05",60.00,"Property Tax"
"Kuchinda","10","2022-01-05","01/2021-22/009797","2022-01-05",22.00,"Property Tax"
"Kuchinda",NULL,"2021-12-30","12/2021-22/008009","2021-12-30",3060.00,"Property Tax"
"Kuchinda","09","2021-11-24","11/2021-22/002081","2021-11-24",42.00,"Property Tax"
"Kuchinda","07","2021-12-13","12/2021-22/004547","2021-12-13",860.00,"Property Tax"
"Kuchinda","04","2022-01-17","01/2021-22/014007","2022-01-17",872.00,"Property Tax"
"Kuchinda","01","2022-01-19","01/2021-22/016883","2022-01-19",510.00,"Property Tax"
"Chatrapur",NULL,"2022-01-03","01/2021-22/008890","2022-01-03",1416.00,"Property Tax"
"Kuchinda",NULL,"2022-01-15","01/2021-22/012585","2022-01-15",260.00,"Property Tax"
"Kuchinda","02","2022-01-08","01/2021-22/010616","2022-01-08",160.00,"Property Tax"
"Kuchinda",NULL,"2022-01-18","01/2021-22/015617","2022-01-18",1848.00,"Property Tax"
"Chatrapur",NULL,"2021-12-30","12/2021-22/008014","2021-12-30",969.00,"Property Tax"
"Kuchinda",NULL,"2021-12-30","12/2021-22/008005","2021-12-30",216.00,"Property Tax"
"Kuchinda","04","2022-01-04","01/2021-22/009720","2022-01-04",258.00,"Property Tax"
"Kuchinda","09","2022-01-12","01/2021-22/011934","2022-01-12",442.00,"Property Tax"
"Chatrapur",NULL,"2022-01-18","01/2021-22/015200","2022-01-18",807.00,"Property Tax"
"Kuchinda",NULL,"2022-01-13","01/2021-22/012045","2022-01-13",540.00,"Property Tax"
"Kuchinda","04","2021-12-14","12/2021-22/005042","2021-12-14",490.00,"Property Tax"
"Kuchinda","04","2022-01-04","01/2021-22/009712","2022-01-04",334.00,"Property Tax"
"Kuchinda",NULL,"2022-01-10","01/2021-22/010897","2022-01-10",152.00,"Property Tax"
"Kuchinda","09","2021-12-07","12/2021-22/003568","2021-12-07",2480.00,"Property Tax"
"Kuchinda","09","2021-12-14","12/2021-22/004816","2021-12-14",90.00,"Property Tax"
"Kuchinda","09","2022-01-13","01/2021-22/011997","2022-01-13",5610.00,"Property Tax"
"Kuchinda","09","2022-01-12","01/2021-22/011750","2022-01-12",176.00,"Property Tax"
"Kuchinda","10","2021-12-31","12/2021-22/008177","2021-12-31",68.00,"Property Tax"
"Kuchinda",NULL,"2022-01-10","01/2021-22/010812","2022-01-10",78.00,"Property Tax"
"Kuchinda","05","2022-01-13","01/2021-22/012192","2022-01-13",666.00,"Property Tax"
"Kuchinda","10","2021-12-30","12/2021-22/007989","2021-12-30",60.00,"Property Tax"
"Kuchinda","10","2021-12-29","12/2021-22/007742","2021-12-29",68.00,"Property Tax"
"Kuchinda","10","2021-12-30","12/2021-22/007939","2021-12-30",30.00,"Property Tax"
"Kuchinda","10","2021-12-29","12/2021-22/007741","2021-12-29",192.00,"Property Tax"
"Kuchinda","10","2021-12-30","12/2021-22/007947","2021-12-30",32.00,"Property Tax"
"Kuchinda","09","2021-12-13","12/2021-22/004554","2021-12-13",54.00,"Property Tax"
"Kuchinda","01","2022-01-19","01/2021-22/016825","2022-01-19",100.00,"Property Tax"
"Kuchinda","07","2021-12-17","12/2021-22/005920","2021-12-17",450.00,"Property Tax"
"Kuchinda",NULL,"2022-01-08","01/2021-22/010536","2022-01-08",114.00,"Property Tax"
"Kuchinda",NULL,"2022-01-13","01/2021-22/012252","2022-01-13",30.00,"Property Tax"
"Kuchinda","10","2022-01-03","01/2021-22/008877","2022-01-03",140.00,"Property Tax"
"Kuchinda",NULL,"2022-01-12","01/2021-22/011940","2022-01-12",254.00,"Property Tax"
"Kuchinda","10","2021-12-28","12/2021-22/007557","2021-12-28",140.00,"Property Tax"
"Kuchinda",NULL,"2022-01-19","01/2021-22/016536","2022-01-19",36.00,"Property Tax"
"Kuchinda","11","2022-01-19","01/2021-22/016478","2022-01-19",168.00,"Property Tax"
"Kuchinda","09","2022-01-10","01/2021-22/010854","2022-01-10",336.00,"Property Tax"
"Kuchinda","10","2022-01-18","01/2021-22/015738","2022-01-18",192.00,"Property Tax"
"Kuchinda",NULL,"2021-12-31","12/2021-22/008221","2021-12-31",80.00,"Property Tax"
"Kuchinda","10","2021-12-28","12/2021-22/007543","2021-12-28",34.00,"Property Tax"
"Kuchinda",NULL,"2022-01-11","01/2021-22/011508","2022-01-11",306.00,"Property Tax"
"Kuchinda","10","2022-01-15","01/2021-22/012556","2022-01-15",78.00,"Property Tax"
"Kuchinda","05","2022-01-10","01/2021-22/010898","2022-01-10",420.00,"Property Tax"
"Kuchinda",NULL,"2022-01-19","01/2021-22/016665","2022-01-19",116.00,"Property Tax"
"Kuchinda","10","2021-12-27","12/2021-22/007497","2021-12-27",1028.00,"Property Tax"
"Kuchinda",NULL,"2022-01-18","01/2021-22/015021","2022-01-18",546.00,"Property Tax"
"Chatrapur",NULL,"2021-11-17","11/2021-22/001513","2021-11-17",22032.00,"Property Tax"
"Kuchinda",NULL,"2022-01-18","01/2021-22/014990","2022-01-18",182.00,"Property Tax"
"Kuchinda",NULL,"2022-01-18","01/2021-22/014888","2022-01-18",728.00,"Property Tax"
"Kuchinda",NULL,"2022-01-12","01/2021-22/011712","2022-01-12",1320.00,"Property Tax"
"Kuchinda","06","2021-11-26","11/2021-22/002331","2021-11-26",1396.00,"Property Tax"
"Kuchinda","06","2021-12-31","12/2021-22/008277","2021-12-31",1050.00,"Property Tax"
"Kuchinda","08","2021-12-06","12/2021-22/003436","2021-12-06",30.00,"Property Tax"
"Chatrapur","09","2021-12-01","12/2021-22/002748","2021-12-01",588.00,"Property Tax"
"Kuchinda","01","2022-01-15","01/2021-22/012934","2022-01-15",58.00,"Property Tax"
"Kuchinda","01","2022-01-15","01/2021-22/012941","2022-01-15",56.00,"Property Tax"
"Kuchinda",NULL,"2021-12-31","12/2021-22/008312","2021-12-31",3250.00,"Property Tax"
"Kuchinda","09","2021-12-21","12/2021-22/006659","2021-12-21",116.00,"Property Tax"
"Kuchinda","08","2021-12-21","12/2021-22/006498","2021-12-21",76.00,"Property Tax"
"Kuchinda","10","2021-11-30","11/2021-22/002688","2021-11-30",30.00,"Property Tax"
"Kuchinda",NULL,"2022-01-18","01/2021-22/014746","2022-01-18",264.00,"Property Tax"
"Kuchinda",NULL,"2022-01-13","01/2021-22/012166","2022-01-13",184.00,"Property Tax"
"Kuchinda",NULL,"2022-01-15","01/2021-22/012794","2022-01-15",760.00,"Property Tax"
"Kuchinda",NULL,"2022-01-12","01/2021-22/011914","2022-01-12",190.00,"Property Tax"
"Kuchinda","06","2021-12-30","12/2021-22/008093","2021-12-30",480.00,"Property Tax"
"Chatrapur","09","2022-01-03","01/2021-22/009036","2022-01-03",1000.00,"Property Tax"
"Kuchinda","10","2022-01-04","01/2021-22/009299","2022-01-04",36.00,"Property Tax"
"Kuchinda","09","2021-12-13","12/2021-22/004504","2021-12-13",360.00,"Property Tax"
"Kuchinda","07","2021-12-01","12/2021-22/002745","2021-12-01",2270.00,"Property Tax"
"Kuchinda","02","2021-12-28","12/2021-22/007552","2021-12-28",2076.00,"Property Tax"
"Kuchinda","07","2021-11-24","11/2021-22/002143","2021-11-24",1020.00,"Property Tax"
"Kuchinda","06","2021-12-31","12/2021-22/008276","2021-12-31",170.00,"Property Tax"
"Kuchinda","06","2021-12-06","12/2021-22/003454","2021-12-06",18244.00,"Property Tax"
"Kuchinda","09","2022-01-13","01/2021-22/012090","2022-01-13",1020.00,"Property Tax"
"Kuchinda",NULL,"2022-01-12","01/2021-22/011857","2022-01-12",1192.00,"Property Tax"
"Kuchinda",NULL,"2022-01-19","01/2021-22/016392","2022-01-19",1064.00,"Property Tax"
"Kuchinda",NULL,"2022-01-17","01/2021-22/014487","2022-01-17",2110.00,"Property Tax"
"Kuchinda","01","2022-01-19","01/2021-22/016809","2022-01-19",250.00,"Property Tax"
"Kuchinda","04","2022-01-19","01/2021-22/016995","2022-01-19",222.00,"Property Tax"
"Kuchinda","10","2021-12-27","12/2021-22/007496","2021-12-27",42.00,"Property Tax"
"Kuchinda","06","2022-01-01","01/2021-22/008589","2022-01-01",1416.00,"Property Tax"
"Kuchinda",NULL,"2022-01-05","01/2021-22/009802","2022-01-05",86.00,"Property Tax"
"Kuchinda","05","2021-12-01","12/2021-22/002785","2021-12-01",300.00,"Property Tax"
"Kuchinda",NULL,"2021-12-28","12/2021-22/007577","2021-12-28",1196.00,"Property Tax"
"Kuchinda",NULL,"2022-01-10","01/2021-22/010765","2022-01-10",1522.00,"Property Tax"
"Kuchinda","04","2022-01-03","01/2021-22/009180","2022-01-03",278.00,"Property Tax"
"Kuchinda",NULL,"2021-12-31","12/2021-22/008244","2021-12-31",2512.00,"Property Tax"
"Kuchinda","11","2022-01-19","01/2021-22/016686","2022-01-19",240.00,"Property Tax"
"Kuchinda",NULL,"2022-01-05","01/2021-22/009796","2022-01-05",80.00,"Property Tax"
"Kuchinda","04","2022-01-17","01/2021-22/013936","2022-01-17",846.00,"Property Tax"
"Kuchinda",NULL,"2022-01-13","01/2021-22/012251","2022-01-13",44.00,"Property Tax"
"Kuchinda","10","2022-01-03","01/2021-22/008851","2022-01-03",60.00,"Property Tax"
"Chatrapur","09","2021-12-17","12/2021-22/005850","2021-12-17",526.00,"Property Tax"
"Chatrapur","10","2021-12-23","12/2021-22/007013","2021-12-23",7344.00,"Property Tax"
"Chatrapur",NULL,"2022-01-10","01/2021-22/010875","2022-01-10",2895.00,"Property Tax"
"Chatrapur","09","2022-01-11","01/2021-22/011312","2022-01-11",1833.00,"Property Tax"
"Chatrapur","10","2021-11-24","11/2021-22/002083","2021-11-24",2754.00,"Property Tax"
"Chatrapur","10","2021-12-18","12/2021-22/006077","2021-12-18",4014.00,"Property Tax"
"Chatrapur","10","2021-12-20","12/2021-22/006294","2021-12-20",1865.00,"Property Tax"
"Chatrapur","09","2021-12-27","12/2021-22/007446","2021-12-27",8572.00,"Property Tax"
"Chatrapur","01","2022-01-19","01/2021-22/016659","2022-01-19",1130.00,"Property Tax"
"Chatrapur",NULL,"2021-11-08","11/2021-22/001012","2021-11-08",70.00,"Property Tax"
"Chatrapur","01","2022-01-10","01/2021-22/011087","2022-01-10",600.00,"Property Tax"
"Chatrapur","03","2022-01-11","01/2021-22/011492","2022-01-11",418.00,"Property Tax"
"Chatrapur",NULL,"2022-01-17","01/2021-22/013934","2022-01-17",300.00,"Property Tax"
"Chatrapur",NULL,"2022-01-10","01/2021-22/011091","2022-01-10",600.00,"Property Tax"
"Chatrapur","01","2021-12-04","12/2021-22/003259","2021-12-04",1481.00,"Property Tax"
"Chatrapur",NULL,"2022-01-04","01/2021-22/009408","2022-01-04",1000.00,"Property Tax"
"Chatrapur","02","2022-01-10","01/2021-22/010862","2022-01-10",2635.00,"Property Tax"
"Chatrapur",NULL,"2022-01-10","01/2021-22/011017","2022-01-10",1173.00,"Property Tax"
"Chatrapur","07","2021-12-21","12/2021-22/006610","2021-12-21",801.00,"Property Tax"
"Chatrapur","07","2021-12-28","12/2021-22/007580","2021-12-28",9994.00,"Property Tax"
"Chatrapur","02","2022-01-12","01/2021-22/011720","2022-01-12",600.00,"Property Tax"
"Chatrapur",NULL,"2022-01-17","01/2021-22/014061","2022-01-17",1000.00,"Property Tax"
"Chatrapur","11","2022-01-18","01/2021-22/015214","2022-01-18",2352.00,"Property Tax"
"Chatrapur","11","2022-01-18","01/2021-22/014958","2022-01-18",3438.00,"Property Tax"
"Bhuban","08","2021-12-22","12/2021-22/006787","2021-12-22",45.00,"Property Tax"
"Chatrapur","09","2021-12-10","12/2021-22/004258","2021-12-10",5508.00,"Property Tax"
"Chatrapur","09","2022-01-10","01/2021-22/010926","2022-01-10",1000.00,"Property Tax"
"Chatrapur","09","2021-12-17","12/2021-22/005699","2021-12-17",1000.00,"Property Tax"
"Chatrapur","02","2022-01-17","01/2021-22/014103","2022-01-17",4040.00,"Property Tax"
"Chatrapur",NULL,"2021-11-23","11/2021-22/001919","2021-11-23",1836.00,"Property Tax"
"Chatrapur","10","2021-12-23","12/2021-22/007016","2021-12-23",600.00,"Property Tax"
"Chatrapur",NULL,"2022-01-10","01/2021-22/010980","2022-01-10",600.00,"Property Tax"
"Chatrapur",NULL,"2022-01-18","01/2021-22/015835","2022-01-18",4756.00,"Property Tax"
"Chatrapur",NULL,"2022-01-13","01/2021-22/012310","2022-01-13",225.00,"Property Tax"
"Chatrapur","10","2022-01-11","01/2021-22/011468","2022-01-11",373.00,"Property Tax"
"Chatrapur","09","2022-01-11","01/2021-22/011442","2022-01-11",7658.00,"Property Tax"
"Chatrapur",NULL,"2022-01-10","01/2021-22/011200","2022-01-10",600.00,"Property Tax"
"Chatrapur",NULL,"2021-12-08","12/2021-22/003887","2021-12-08",9850.00,"Property Tax"
"Chatrapur","02","2022-01-03","01/2021-22/008901","2022-01-03",434.00,"Property Tax"
"Chatrapur","02","2022-01-13","01/2021-22/012152","2022-01-13",1336.00,"Property Tax"
"Chatrapur",NULL,"2022-01-18","01/2021-22/014889","2022-01-18",4528.00,"Property Tax"
"Chatrapur",NULL,"2022-01-03","01/2021-22/008973","2022-01-03",1836.00,"Property Tax"
"Chatrapur","02","2022-01-10","01/2021-22/010938","2022-01-10",600.00,"Property Tax"
"Chatrapur","03","2021-12-29","12/2021-22/007892","2021-12-29",6110.00,"Property Tax"
"Chatrapur",NULL,"2022-01-10","01/2021-22/010808","2022-01-10",1324.00,"Property Tax"
"Chatrapur",NULL,"2021-12-29","12/2021-22/007902","2021-12-29",2160.00,"Property Tax"
"Chatrapur","02","2021-12-08","12/2021-22/003815","2021-12-08",28458.00,"Property Tax"
"Chatrapur",NULL,"2022-01-17","01/2021-22/014096","2022-01-17",3304.00,"Property Tax"
"Chatrapur","01","2022-01-11","01/2021-22/011458","2022-01-11",1000.00,"Property Tax"
"Chatrapur","11","2022-01-10","01/2021-22/010834","2022-01-10",600.00,"Property Tax"
"Chatrapur",NULL,"2021-10-25","10/2021-22/000505","2021-10-25",104.00,"Property Tax"
"Banki",NULL,"2022-01-10","01/2021-22/010833","2022-01-10",14.00,"Property Tax"
"Banki","15","2022-01-05","01/2021-22/009798","2022-01-05",112.00,"Property Tax"
"Banki","12","2022-01-03","01/2021-22/008955","2022-01-03",411.00,"Property Tax"
"Chatrapur",NULL,"2021-12-17","12/2021-22/005747","2021-12-17",5230.00,"Property Tax"
"Banki","15","2022-01-05","01/2021-22/009834","2022-01-05",32.00,"Property Tax"
"Chatrapur","07","2022-01-18","01/2021-22/015283","2022-01-18",1245.00,"Property Tax"
"Banki","12","2022-01-17","01/2021-22/013684","2022-01-17",341.00,"Property Tax"
"Banki",NULL,"2022-01-05","01/2021-22/009831","2022-01-05",134.00,"Property Tax"
"Banki","05","2022-01-10","01/2021-22/010883","2022-01-10",266.00,"Property Tax"
"Banki","15","2021-10-25","10/2021-22/000513","2021-10-25",352.00,"Property Tax"
"Banki","05","2022-01-10","01/2021-22/010890","2022-01-10",60.00,"Property Tax"
"Banki","15","2022-01-05","01/2021-22/009807","2022-01-05",128.00,"Property Tax"
"Banki",NULL,"2022-01-18","01/2021-22/015584","2022-01-18",176.00,"Property Tax"
"Banki","15","2022-01-05","01/2021-22/009801","2022-01-05",387.00,"Property Tax"
"Banki","12","2022-01-10","01/2021-22/010769","2022-01-10",632.00,"Property Tax"
